userID	artistID	weight
1879	188	256
792	230	4033
1900	3287	183
1791	318	507
1699	299	110
1926	10214	418
1277	154	7294
711	1360	37
32	220	327
255	1789	128
1754	812	277
1697	5353	217
1768	1041	118
605	1089	370
252	1409	503
282	2375	606
1028	704	83
252	687	264
719	9525	67
1536	2493	25
874	10739	316
325	1329	530
2006	756	781
563	8111	1701
1839	1412	190
2062	1705	2094
943	3673	47
433	6803	571
134	308	575
261	4497	463
119	1113	157
555	8018	234
814	528	317
1313	1633	255
482	1406	106
8	360	257
297	1109	330
1270	6769	63
719	9522	134
1012	2600	128
594	537	12
1289	1947	624
994	11636	112
1073	245	291
1475	77	21
2043	6773	691
1465	288	795
247	4760	114
951	170	715
1859	17167	1
477	306	340
1591	290	335
1049	1632	33
16	669	147
688	220	158
718	1155	692
57	1671	1488
1817	894	1139
685	5667	1007
1204	7527	301
2034	229	907
1656	227	1155
1808	461	417
291	3603	21
378	285	5143
1590	3186	225
1854	17130	80
1292	325	7
346	709	389
193	4025	1541
1733	1974	138
986	497	397
53	1585	29
313	2975	350
1085	602	502
275	159	65
1221	13242	30
2083	18605	16
1874	6757	191
304	171	34
1330	220	527
819	265	186
1752	912	557
1606	464	497
454	12338	281
832	1343	147
1638	1411	76
863	1048	124
1534	163	4296
27	614	102
1950	10214	579
816	320	7
18	718	359
1726	6389	125
1670	4179	108
684	2020	874
1969	3317	364
729	930	26
1724	88	20
896	1858	1118
477	466	406
624	352	105
698	2051	4890
391	1194	285
655	8981	4
366	1122	238
1101	2152	398
1430	154	106
865	5159	22
1839	2838	137
1540	2440	745
733	464	83
659	2094	745
2000	161	3054
1747	615	43
1234	13364	166
1921	288	1620
943	1977	28
715	841	222
4	163	465
278	89	85
152	1246	117
2000	18129	2081
453	1400	123
1438	1106	589
489	7411	60
1527	2666	125
200	4128	197
697	175	502
1089	1534	189
1093	4608	67
1592	714	114
347	966	808
1467	497	253
1607	288	173
1009	1406	9
1467	8991	679
397	6525	32
560	1414	98
612	1409	126
822	10394	1721
662	9080	1470
496	1914	328
1540	1392	348
370	77	1357
1246	2446	266
43	328	1045
1868	1425	134
504	306	129
1404	199	1646
1253	5594	216
1517	359	1032
601	8441	540
1999	2379	445
2034	300	293
752	1562	195
1299	342	722
752	2665	187
288	1400	623
871	1216	1839
1189	1050	126
1471	1246	235
572	161	208
851	294	2354
1072	1052	230
1388	546	63
105	2679	115
1828	155	521
1955	17867	49
484	7364	231
2006	748	5679
1845	3470	146
1903	3288	114
2006	18189	562
1390	1513	185
307	5514	72
74	646	929
2099	6046	770
1337	3200	2327
139	978	769
2058	4257	25
2093	1244	214
1636	300	54
54	1596	62
141	734	158
978	924	286
1111	4166	1621
2008	982	453
1349	14049	41
1740	4153	598
1632	4474	231
2094	2977	967
20	746	285
1440	14567	381
79	2175	155
420	340	443
1461	4559	52
1544	5633	116
1621	767	1279
875	458	118
314	300	453
466	504	142
1722	89	686
1186	786	412
125	701	128
1660	2473	112
63	959	83
2065	393	458
1815	1167	431
566	75	73
1961	352	1712
1068	2738	408
1008	6906	154
48	1477	12
826	1463	30
1124	523	725
261	4947	321
1562	1807	381
861	3081	285
968	1766	256
885	907	241
616	726	724
215	854	9
1821	528	1606
181	3847	39
291	5285	26
1474	2616	378
2035	18340	174
1074	96	93
606	1824	692
1682	486	694
15	617	341
1310	197	1
826	10429	173
1721	4722	97
1157	1547	358
557	518	384
11	300	347
2064	225	18
1638	1229	46
1204	1242	1177
981	425	113
1908	310	301
1723	9143	103
47	292	1075
623	4675	1860
1915	17574	53
512	7639	499
662	307	466
1939	17753	3491
1722	5985	109
574	2352	747
108	2776	297
1998	486	228
544	6602	313
1099	690	43
2059	907	218
1238	3310	189
66	1887	563
993	217	98
123	808	446
807	498	297
1871	3488	29
404	377	294
839	1179	553
90	2456	118
1061	8126	249
1902	1919	715
1068	4821	183
43	278	121
719	2344	56
113	1369	3498
241	436	780
1305	475	201
1246	67	266
1007	11773	72
203	4181	40
206	2735	132
1831	225	1706
635	3693	187
1216	1195	1770
1454	441	405
838	512	248
2057	722	438
1047	10309	97
1283	523	1227
249	291	198
1243	1118	76
1597	525	143
284	5212	5
75	1246	116
33	1124	681
987	528	1244
479	157	7813
1404	416	1780
1254	10663	259
913	45	413
1531	15208	292
502	296	1223
126	321	285
1151	12697	175
1721	16275	289
908	3558	63
7	313	900
948	5636	151
910	906	701
383	5149	389
1908	3171	424
1445	288	932
137	55	1108
954	32	85
108	2758	513
1376	4255	26
2056	10076	8
50	969	960
275	65	42
540	173	1339
1216	6453	669
1565	6424	171
1389	526	190
1394	982	343
2087	4920	79
1643	3070	664
1366	546	60
960	661	17
737	517	426
1233	10691	736
807	375	3820
1069	349	2625
1641	70	215
1514	70	180
911	300	1440
1653	858	155
1549	10133	70
1503	599	171
299	1772	424
1900	6780	118
1524	222	388
641	170	1113
1677	605	1471
311	225	771
447	7035	173
1425	7660	2191
1573	5304	150
862	544	223
1912	278	162
1629	4880	361
1718	575	405
1414	1181	357
18	709	660
738	955	263
1287	6	205
2071	2462	59
969	1710	524
52	1568	82
1658	681	314
881	6132	342
809	1456	410
286	323	310
1378	14211	252
1459	13454	140
1313	769	592
1924	499	5955
1139	289	15773
884	292	224
172	1206	619
909	1179	341
720	3308	93
189	2846	282
1580	534	134
135	3193	555
954	1067	794
632	2083	609
386	6357	256
62	1789	110
1062	6556	49
134	466	257
1961	12535	1163
1667	15953	12
1772	202	1978
1814	1369	132
1560	481	162
765	440	899
2053	972	253
1248	498	44
943	3341	106
728	1510	1130
1537	3475	37
441	5666	110
1471	191	109
1911	618	614
1509	966	266
1794	493	1508
530	689	42
355	496	382
1770	5071	1597
654	8958	69
1049	166	19
1553	15296	209
2058	1576	26
697	9355	792
539	493	54
1429	305	1024
504	2521	164
1920	470	209
1163	193	6
938	11217	3150
1988	471	83
1590	350	704
874	697	306
846	1206	1042
1958	167	53
862	190	660
338	1098	297
228	4523	15
1177	12948	476
1230	13309	11
980	782	84
794	511	134
507	3892	247
1371	3703	226
477	302	243
624	8670	91
1149	12672	30
88	211	35
561	8096	877
155	1534	2074
1871	17284	91
1254	13503	550
1116	12407	14
175	951	1787
241	3416	1936
334	5783	1160
1887	7902	268
1530	1103	259
1458	2080	14
481	679	107
537	7863	85
2032	233	929
237	622	342
109	2794	115
675	294	603
106	2726	619
203	540	46
562	8107	196
1205	13099	2
133	332	75
1401	250	224
551	4354	18
1749	6195	1005
279	5136	336
912	2834	2660
526	724	28
1087	1390	140
1998	14239	86
1348	11890	87
950	5008	239
865	2785	20
286	301	288
109	1249	2581
672	1044	219
805	2673	77
1899	190	463
1972	2668	121
713	329	280
1539	298	22
2000	475	47147
641	455	3175
28	1001	11
1351	1037	25
1343	7464	13
782	603	1456
2010	533	786
1600	67	2236
1644	732	14
2035	9545	119
1725	4707	46
858	488	155
1273	5609	109
497	528	60
555	289	396
526	7778	4
105	2684	97
965	340	213
1592	614	114
455	27	2690
2007	7331	1897
660	4568	60
828	4124	150
1411	3861	63
127	3092	403
938	317	498
1021	154	323
159	316	6307
288	436	209
2033	324	163
421	326	133
2090	18638	350
1144	2901	279
1674	289	240
95	704	26
118	2959	222
594	3373	23
790	686	273
2010	709	649
1346	14012	183
2096	172	578
102	202	1708
88	2411	12
637	1976	77
1186	291	732
1971	5632	3199
982	768	58
963	1465	555
706	1052	8
1589	808	138
1964	159	270
1298	330	194
340	257	2570
1183	1181	329
496	515	58
513	1633	276
1037	4125	4
693	9318	90
359	6057	1906
1751	11608	56
1980	7194	35
757	9846	37
659	456	1883
397	6521	65
363	6129	655
1982	172	162
388	407	2366
895	1146	1028
838	1098	574
553	535	48
913	182	680
1245	3616	450
1697	3138	633
249	403	521
178	1426	392
281	5165	11
2009	1934	160
607	8520	325
657	4118	456
1588	2439	405
1135	903	133
402	982	3151
711	2901	27
71	2016	78
359	68	357
76	2091	2091
1174	4165	1407
1955	626	44
502	2939	426
850	463	784
623	152	4295
476	424	312
1755	10672	169
817	481	258
703	461	114
756	65	27
723	9547	53
1666	471	977
1770	5874	132
1799	466	427
556	2840	16
218	250	94
1826	1167	620
961	11419	114
1964	2282	118
451	498	11269
16	346	264
1783	234	1184
1310	986	1
1910	1098	4831
208	3476	121
122	3009	15
92	2511	7
1099	173	94
423	6738	117
1093	1177	60
411	6635	41
1986	2347	310
965	360	257
999	1110	145
2015	2966	2086
1642	1009	207
331	5755	129
485	7389	27
1435	291	602
200	998	275
1852	917	522
224	2265	258
1122	289	16
462	7150	416
1180	2179	47
703	1455	19
1553	11050	222
415	523	455
1332	1042	540
235	188	2094
1144	12637	116
1284	8868	197
690	55	3185
861	5036	248
1017	301	197
1795	55	265
66	1898	320
1292	461	53
357	3053	1741
1647	13546	800
1401	1872	1212
304	3183	22
1281	13638	11
1776	2432	434
341	5860	118
1796	207	522
1501	829	217
1544	378	518
1287	11372	137
651	4572	420
1662	257	794
1050	1098	634
625	8679	112
1754	5446	339
919	418	5623
329	3866	1228
126	403	704
405	527	460
1527	2137	1031
145	293	688
291	5284	27
210	498	127
574	6132	424
510	7615	30
453	51	235
1465	8589	527
789	3227	1954
281	5161	21
1426	10630	67
426	772	331
406	6569	707
1002	323	228
1889	2871	678
1393	7078	594
1825	198	156
823	1179	671
1363	2665	676
1710	16186	170
1410	229	25
958	301	114
1712	9818	286
698	3067	2635
912	10993	6406
1889	6165	191
36	816	1420
87	329	90
241	860	1831
2047	2716	106
304	5079	58
1016	217	489
2038	352	157
461	7138	40
565	72	1232
856	855	170
1354	207	155
1712	166	1214
660	3500	130
1678	498	92
1702	562	300
1414	1375	777
1309	226	5093
800	920	1058
704	6567	10
1815	192	471
1104	261	124
1278	680	112
1082	227	223
1926	1213	798
804	329	472
1590	7292	663
1685	429	71
1828	295	894
887	3470	88
1112	12391	156
553	295	39
1817	1983	1691
876	3436	100
1026	2961	266
2036	10891	260
1390	1515	830
1574	2738	297
412	701	20
2053	2370	226
1660	512	164
489	511	135
897	1134	42
1894	1037	883
1861	17189	190
1652	486	97
23	436	242
2081	609	396
306	250	49
1875	7264	245
1820	329	66
932	6064	556
570	8158	592
327	180	296
111	603	355
208	12	42
922	1790	72
935	4871	205
863	3730	185
578	726	119
517	2277	133
